Date,trapVisitID,subSiteName,visitType,trapFunctioning,fishProcessed,sampleStart,sampleEnd,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,coneDebrisIntake1,coneDebrisIntake2,debrisVolume,debrisType,includeCatch,includeCatchComments,TrapVisit.comments
2017-02-11,8315,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017-02-10 10:09,2017-02-11 10:36,2587,0,,,,55,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 3/1. 
2017-02-08,8316,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-07 09:49,2017-02-08 10:34,,0,2.6,,,27,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Counter not recorded: clicker not installed. Log stopped trap. 
2017-02-09,8317,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-08 10:34,2017-02-09 10:45,,0,2.7,,,14,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 3/3. Counter not recorded: clicker not installed. Trap was stopped upon arrival with heavy debris. Flows had risen from 1250 to 2200 cfs. 
2017-02-10,8318,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-09 13:24,2017-02-10 09:56,,0,2.1,,,18,Terrestrial/Aquatic,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 1/1. Clicker stopped functioning. 
2017-02-11,8319,ST004L1B,End trapping,Trap functioning normally,Processed fish,2017-02-10 09:56,2017-02-11 11:05,3049,2.3,,,,15,Terrestrial/Aquatic,Yes,,Intake debris 0/0. 
2017-02-12,8320,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-12 17:09,,,2.6,,,,,Yes,,
2017-02-13,8321,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-12 17:09,2017-02-13 09:26,,0,1.5,,,7,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 0/0. 
2017-02-14,8322,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-13 09:26,2017-02-14 10:04,804,0,0.3,,,7,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. Cone not spinning due to low flows. 
2017-02-12,8324,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-12 17:00,,,3.1,,,,,Yes,,
2017-02-13,8325,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-12 17:00,2017-02-13 10:08,,0,1.9,,,16,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 1/1. 
2017-02-14,8327,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-13 10:08,2017-02-14 10:08,1725,0.6,0.5,,,6,Terrestrial,Yes,,Intake debris 0/0. Cone not spinning due to low flows. 
2017-02-15,8328,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-14 10:04,2017-02-15 13:00,,0,0,,,1,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Cone not spinning due to low flows. 
2017-02-16,8330,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-15 13:00,2017-02-16 09:17,,0,0,,,4,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/0. Cone not spinning due to low flows. 
2017-02-17,8331,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-16 09:17,2017-02-17 09:26,,0,0,,,2,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Cone not spinning due to low flows. Minimal debris in cone. 
2017-02-15,8333,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-14 10:08,2017-02-15 13:08,,0,0,,,1,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Cone not spinning due to low flows. 
2017-02-16,8334,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-15 13:08,2017-02-16 09:12,,0,0,,,3,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Cone not spinning due to low flows. 
2017-02-17,8335,ST004L1,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-16 09:12,2017-02-17 09:21,,0,0.5,,,6,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Cone not spinning due to low flows. All debris was found inside the cone; livewell was empty of debris. 
2017-02-18,8336,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-17 09:26,2017-02-18 09:26,148,0.3,0.9,,,8,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/1. Cone spinning very slowly due to low flows.
2017-02-19,8338,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-18 09:26,2017-02-19 09:54,1300,1,1.1,,,12,Terrestrial,Yes,,Intake debris 0/0.
2017-02-20,8339,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-19 09:54,2017-02-20 09:08,1283,1.2,1.2,,,,Terrestrial,Yes,,Intakes 0/0. Debris volume not recorded. 
2017-02-21,8340,ST004L1B,End trapping,Trap functioning normally,Processed fish,2017-02-20 09:08,2017-02-21 09:27,1768,1.6,1.9,,,8,Terrestrial,Yes,,Intake debris 1/0. Stopped trap due to high debris volume. 
2017-02-21,8341,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-21 20:55,,,1.8,,,,,Yes,,
2017-02-22,8342,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-21 20:55,2017-02-22 10:05,,0,1.7,,,18,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 3/3. 
2017-02-18,8343,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-17 09:21,2017-02-18 09:22,520,0.8,1.1,,,10,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-19,8345,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-18 09:22,2017-02-19 10:08,844,0,1.3,,,30,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 3/3. 
2017-02-20,8346,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-19 10:08,2017-02-20 09:27,1962,1.5,1.5,,,14,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-21,8347,ST004L1,End trapping,Trap stopped functioning,Processed fish,2017-02-20 09:27,2017-02-21 09:53,,0,2,,,31,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/1. Cones raised due to heavy debris volume. 
2017-02-21,8348,ST004L1,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-02-21 20:55,,,3,,,,,Yes,,
2017-02-22,8349,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-21 20:55,2017-02-22 10:18,,0,2.4,,,40,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 3/3. Trap stopped due to log. Clicker not functioning. 
2017-02-23,8350,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-22 10:05,2017-02-23 11:03,2042,0.9,1.1,,,1,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-24,8351,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-23 11:03,2017-02-24 09:30,1491,0.8,1.1,,,1,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-25,8352,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-24 09:30,2017-02-25 09:38,1422,0.7,0.8,,,2,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-26,8353,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-25 09:38,2017-02-26 08:52,1001,0.6,0.6,,,1,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-27,8354,ST004L1B,Continue trapping,"Trap functioning, but not normally",Processed fish,2017-02-26 08:52,2017-02-27 08:50,420,0.2,0.6,,,0,None,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0.  
2017-02-28,8355,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-27 08:50,2017-02-28 09:50,224,0,0,,,1,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. 
2017-03-01,8356,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-02-28 09:50,2017-03-01 09:29,140,0.7,0.7,,,5,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-02,8357,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-01 09:29,2017-03-02 09:20,,0,0.6,,,7,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. Trap stopped from small log in front of intake (not actually in the intake). 
2017-03-03,8358,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-02 09:20,2017-03-03 09:00,855,0.7,0.6,,,6,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-04,8359,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-03 09:00,2017-03-04 09:47,903,0,0.6,,,9,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. 
2017-02-23,8360,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-22 10:18,2017-02-23 11:03,3146,1.6,1.5,,,7,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-24,8361,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-23 11:03,2017-02-24 09:55,2469,1.9,1.6,,,1,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-25,8362,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-24 09:55,2017-02-25 09:50,2401,1.6,1.5,,,11,Terrestrial,Yes,,Intake debris 0/0. 
2017-02-26,8363,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-25 09:50,2017-02-26 08:59,1274,0,1,,,6,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. 
2017-02-27,8364,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-26 08:59,2017-02-27 09:03,,0,1.1,,,,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/1. Debris volume not recorded. Trap stopped on arrival due to log in cone. 
2017-02-28,8365,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-02-27 09:03,2017-02-28 09:50,,0,0.4,,,5,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. 
2017-03-01,8366,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-02-28 09:50,2017-03-01 09:38,615,0.9,0.8,,,5,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-02,8367,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-01 09:38,2017-03-02 09:10,952,0.8,0.9,,,3,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-03,8368,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-02 09:10,2017-03-03 09:10,1091,0.9,0.7,,,3,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-04,8369,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-03 09:10,2017-03-04 09:36,1149,0.8,0.8,,,3,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-05,8370,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-04 09:36,2017-03-05 09:15,1296,1,1,,,2,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-06,8371,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-05 09:15,2017-03-06 09:34,829,0,1,,,8,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/0. Cone stopped due to log in intake. 
2017-03-07,8372,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-06 09:34,2017-03-07 09:22,1417,0.8,0.8,,,7,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-08,8373,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-07 09:22,2017-03-08 09:29,1524,0.9,0.8,,,5,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-09,8374,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-08 09:29,2017-03-09 10:12,1368,0.7,0.9,,,2,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-10,8375,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-09 10:12,2017-03-10 09:30,1286,0.7,0.6,,,3,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-11,8376,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-10 09:30,2017-03-11 09:08,1266,0.8,0.6,,,3,Terrestrial ,Yes,,Intake debris 0/0. 
2017-03-12,8377,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-11 09:08,2017-03-12 08:53,1266,1,1.1,,,3,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-13,8378,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-12 08:53,2017-03-13 10:31,335,0,2.2,,,12,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,"Intake debris 0/0. Heavy debris piled in front of cone, stopped by logs. "
2017-03-14,8379,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-13 10:31,2017-03-14 09:59,2214,0,2.5,,,24,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 2/2. 
2017-03-15,8380,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-14 09:59,2017-03-15 10:03,2300,0,2.6,,,28,Terrestrial,Yes,Data included in analysis because actual catch greater than imputed catch. ,Intake debris 2/0. 
2017-03-16,8381,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-15 10:03,2017-03-16 10:03,3524,2.5,2.5,,,47,Not recorded. ,Yes,,Intake debris 0/0. 
2017-03-17,8382,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-16 10:03,2017-03-17 09:24,597,0,2.5,,,23,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/1. 
2017-03-18,8383,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-17 09:24,2017-03-18 09:25,867,0,2.6,,,12,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/2. 
2017-03-19,8384,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-18 09:25,2017-03-19 09:45,3541,2.4,2.6,,,18,Terrestrial,Yes,,Intake debris 0/1. 
2017-03-20,8385,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-19 09:45,2017-03-20 10:12,118,0,2.1,,,2,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. Trap stopped due to logs. 
2017-03-21,8386,ST004L1,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-20 10:12,2017-03-21 10:23,2169,0,2.5,,,26,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/3. Trap stopped upon arrival. 
2017-03-22,8387,ST004L1,Continue trapping,Trap functioning normally,Processed fish,2017-03-21 10:23,2017-03-22 10:53,,2.2,2.4,,,37,Terrestrial,Yes,,Intake debris 1/0. Clicker total recorded as 333803; likely incorrect. 
2017-03-05,8388,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-04 09:47,2017-03-05 09:07,,0,0.5,,,2,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. 
2017-03-06,8389,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-05 09:07,2017-03-06 09:43,845,0.5,0.6,,,8,Terrestrial,Yes,,Intake debris 1/0. 
2017-03-07,8390,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-06 09:43,2017-03-07 09:25,842,0.7,0.7,,,4,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-08,8391,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-07 09:25,2017-03-08 09:20,125,0,0.7,,,1,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/0. 
2017-03-09,8392,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-08 09:20,2017-03-09 10:15,839,0.5,0.4,,,2,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-10,8393,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-09 10:15,2017-03-10 09:25,757,0.5,0.6,,,4,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-11,8394,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-10 09:25,2017-03-11 09:22,754,0.4,0.4,,,5,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-12,8395,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-11 09:22,2017-03-12 08:45,799,0.7,0.8,,,4,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-13,8396,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-12 08:45,2017-03-13 10:37,997,0,1.8,,,19,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/0. Log in intake. 
2017-03-14,8397,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-13 10:37,2017-03-14 09:30,135,0,2,,,13,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 3/1. 
2017-03-15,8398,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-14 09:30,2017-03-15 09:49,2665,0,1.7,,,28,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 1/0. 
2017-03-16,8399,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-15 09:49,2017-03-16 10:09,1913,0,1.8,,,43,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 1/1. 
2017-03-17,8400,ST004L1B,Continue trapping,Trap functioning normally,Processed fish,2017-03-16 10:09,2017-03-17 09:39,2996,2.1,2.2,,,28,Terrestrial,Yes,,Intake debris 0/0. 
2017-03-18,8401,ST004L1B,Unplanned restart,Trap stopped functioning,No fish were caught,2017-03-17 09:39,2017-03-18 09:19,652,0,2.1,,,9,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/2. 
2017-03-19,8402,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-18 09:19,2017-03-19 09:26,2644,0,2.2,,,23,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. 
2017-03-20,8403,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-19 09:26,2017-03-20 10:24,2194,0,1.7,,,26,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 3/0. 
2017-03-21,8404,ST004L1B,Unplanned restart,Trap stopped functioning,No fish were caught,2017-03-20 10:24,2017-03-21 10:28,1699,0,2,,,35,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/1. 
2017-03-22,8405,ST004L1B,Unplanned restart,Trap stopped functioning,No fish were caught,2017-03-21 10:28,2017-03-22 10:27,1518,0,2,,,46,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. 
2017-03-23,8406,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-22 10:27,2017-03-23 09:39,1844,0,2.5,,,58,Terrestrial,No,"Trap stopped or not functioning normally: imputed catch greater than actual catch. Trap stopped, large smallmouth in trap. ",Intake debris 3/3. 
2017-03-24,8407,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-23 09:39,2017-03-24 09:34,660,0,2.4,,,14,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 0/0. 
2017-03-25,8408,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-24 09:34,2017-03-25 09:51,2050,0,2.5,,,30,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/3. 
2017-03-26,8409,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-25 09:51,2017-03-26 09:42,328,0,2.4,,,23,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 3/0. Trap stopped due to log. Debris in cone. 
2017-03-27,8410,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-26 09:42,2017-03-27 09:35,2151,0,2.3,,,17,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 0/0. Trap stopped by stick. Logs in trap. 
2017-03-28,8411,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-27 09:35,2017-03-28 10:15,1639,0,,,,51,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 3/0. Trap stopped by log. Large log inside cone. After cleaning revolutions not recorded. 
2017-03-29,8412,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-28 10:15,2017-03-29 09:42,1378,0,2.4,,,38,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 3/0. 
2017-03-30,8413,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-29 09:42,2017-03-30 10:00,2991,0,2.3,,,45,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 3/0. Trap stopped by log. 
2017-03-31,8414,ST004L1B,Unplanned restart,Trap stopped functioning,Processed fish,2017-03-30 10:00,2017-03-31 10:13,2906,0,2,,,146,Terrestrial,Yes,Data included in analysis because calculations based on clicker total and after cleaning RPMs suggest trap was functioning normally for at least 70% of the sampling period. ,Intake debris 1/0. 
2017-04-01,8415,ST004L1B,End trapping,Trap stopped functioning,No fish were caught,2017-03-31 10:13,2017-04-01 09:14,255,0,,,,34,Terrestrial,No,Trap stopped or not functioning normally: imputed catch greater than actual catch. ,Intake debris 1/3. 
2017-04-03,8416,ST004L1B,Start trap & begin trapping,Trap functioning normally,N/A; not a sampling visit,,2017-04-03 15:28,,,2.6,,,,,Yes,,
