MethodCode,StationCode,SampleDate,SampleTime,GearID,StreamGauge,TrapStatus,Debris,GearConditionCode,TimePerRevBefore,TimePerRevAfter,TrapRevolutions,Comments
RSTR,ST040X,1996-02-25,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-26,08:00:00,RSTR8,n/p,NA,n/p,NA,9.23,NA,NA,NA
RSTR,ST040X,1996-02-26,22:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-02-27,07:30:00,RSTR8,5,NA,n/p,NA,8.13,NA,NA,NA
RSTR,ST040X,1996-02-28,07:00:00,RSTR8,5,NA,n/p,NA,9.12,NA,NA,NA
RSTR,ST040X,1996-02-29,07:30:00,RSTR8,5,3,n/p,NA,9.73,NA,NA,water level rose one foot; all live fish releaed; trap raised for daytime
RSTR,ST040X,1996-02-29,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-01,07:00:00,RSTR8,5,NA,n/p,NA,8.99,NA,NA,NA
RSTR,ST040X,1996-03-02,19:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-02,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-02,23:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-04,11:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,trap is now fishing in first fishing spot
RSTR,ST040X,1996-03-04,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-05,07:00:00,RSTR8,2.1,NA,n/p,NA,9.03,NA,NA,NA
RSTR,ST040X,1996-03-05,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-06,07:30:00,RSTR8,2.15,NA,n/p,NA,8.15,NA,NA,light debris; trap left down for daytime
RSTR,ST040X,1996-03-07,08:00:00,RSTR8,2.1,NA,n/p,NA,8.19,NA,NA,NA
RSTR,ST040X,1996-03-08,07:00:00,RSTR8,2,NA,n/p,NA,8.69,NA,NA,NA
RSTR,ST040X,1996-03-08,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-08,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-09,07:30:00,RSTR8,2.1,NA,n/p,NA,8.7,NA,NA,NA
RSTR,ST040X,1996-03-09,16:15:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-09,22:15:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-10,07:30:00,RSTR8,1.95,NA,n/p,NA,8.6,NA,NA,NA
RSTR,ST040X,1996-03-10,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-10,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-11,07:00:00,RSTR8,1.9,NA,n/p,NA,8.48,NA,NA,NA
RSTR,ST040X,1996-03-11,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-12,07:00:00,RSTR8,1.8,NA,n/p,NA,6.94,NA,NA,turbidity bottle broken
RSTR,ST040X,1996-03-12,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-12,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-13,07:00:00,RSTR8,1.7,NA,n/p,NA,9.63,NA,NA,NA
RSTR,ST040X,1996-03-13,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-14,07:30:00,RSTR8,1.45,NA,n/p,NA,8.12,NA,NA,NA
RSTR,ST040X,1996-03-14,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-15,07:00:00,RSTR8,1.4,NA,n/p,NA,7.99,NA,NA,NA
RSTR,ST040X,1996-03-15,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-16,08:00:00,RSTR8,1.6,NA,n/p,NA,8.14,NA,NA,NA
RSTR,ST040X,1996-03-16,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-17,07:30:00,RSTR8,1.6,NA,n/p,NA,8.5,NA,NA,NA
RSTR,ST040X,1996-03-17,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-18,07:00:00,RSTR8,1.6,NA,n/p,NA,8.26,NA,NA,NA
RSTR,ST040X,1996-03-18,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-19,07:00:00,RSTR8,1.55,NA,n/p,NA,11.92,NA,NA,NA
RSTR,ST040X,1996-03-19,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-20,08:00:00,RSTR8,1.5,NA,n/p,NA,9.06,NA,NA,NA
RSTR,ST040X,1996-03-20,18:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-21,07:30:00,RSTR8,1.5,NA,n/p,NA,10,NA,NA,NA
RSTR,ST040X,1996-03-21,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-22,07:00:00,RSTR8,1.6,NA,n/p,NA,7.11,NA,NA,NA
RSTR,ST040X,1996-03-22,20:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-22,21:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-23,07:00:00,RSTR8,0.8,NA,n/p,NA,9.2,NA,NA,NA
RSTR,ST040X,1996-03-24,07:00:00,RSTR8,0.4,NA,n/p,NA,8.77,NA,NA,NA
RSTR,ST040X,1996-03-24,17:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-25,07:00:00,RSTR8,0.2,NA,n/p,NA,7.48,NA,NA,NA
RSTR,ST040X,1996-03-25,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-25,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-26,07:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-26,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-27,07:00:00,RSTR8,n/p,NA,n/p,NA,10.85,NA,NA,NA
RSTR,ST040X,1996-03-27,12:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-27,18:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-27,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-28,07:00:00,RSTR8,5,NA,n/p,NA,8.59,NA,NA,NA
RSTR,ST040X,1996-03-28,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-29,07:00:00,RSTR8,5,NA,n/p,NA,7.59,NA,NA,NA
RSTR,ST040X,1996-03-29,14:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-29,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-30,07:00:00,RSTR8,5,NA,n/p,NA,9.11,NA,NA,NA
RSTR,ST040X,1996-03-30,18:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-30,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-31,07:30:00,RSTR8,n/p,NA,n/p,NA,9.04,NA,NA,NA
RSTR,ST040X,1996-03-31,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-03-31,23:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-01,07:00:00,RSTR8,5,NA,n/p,NA,9.62,NA,NA,NA
RSTR,ST040X,1996-04-01,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-02,07:00:00,RSTR8,5,NA,n/p,NA,10.37,NA,NA,one side of trap jammed
RSTR,ST040X,1996-04-02,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-03,07:00:00,RSTR8,n/p,NA,n/p,NA,8.45,NA,NA,NA
RSTR,ST040X,1996-04-03,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-04,07:00:00,RSTR8,5,NA,n/p,NA,9.33,NA,NA,NA
RSTR,ST040X,1996-04-04,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-05,07:00:00,RSTR8,n/p,NA,n/p,NA,10.37,NA,NA,NA
RSTR,ST040X,1996-04-06,07:00:00,RSTR8,2.3,NA,n/p,NA,8.23,NA,NA,NA
RSTR,ST040X,1996-04-06,20:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-06,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-07,02:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-07,07:00:00,RSTR8,2.21,NA,n/p,NA,7.5,NA,NA,NA
RSTR,ST040X,1996-04-07,21:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-08,07:00:00,RSTR8,2.25,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-08,20:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-09,07:00:00,RSTR8,2.25,NA,n/p,NA,10.09,NA,NA,NA
RSTR,ST040X,1996-04-09,20:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-10,07:00:00,RSTR8,2.2,NA,n/p,NA,8.48,NA,NA,NA
RSTR,ST040X,1996-04-11,07:00:00,RSTR8,2.2,NA,n/p,NA,8.58,NA,NA,NA
RSTR,ST040X,1996-04-11,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-12,09:30:00,RSTR8,2.16,NA,n/p,NA,9.65,NA,NA,NA
RSTR,ST040X,1996-04-12,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-13,07:00:00,RSTR8,1.88,NA,n/p,NA,11.07,NA,NA,all fish released; fish very weak
RSTR,ST040X,1996-04-13,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-14,07:30:00,RSTR8,1.85,NA,n/p,NA,8.47,NA,NA,NA
RSTR,ST040X,1996-04-14,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-14,23:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-15,08:00:00,RSTR8,1.9,NA,n/p,NA,9.59,NA,NA,NA
RSTR,ST040X,1996-04-15,19:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-16,07:00:00,RSTR8,1.86,NA,n/p,NA,9.55,NA,NA,NA
RSTR,ST040X,1996-04-17,07:00:00,RSTR8,1.9,NA,n/p,NA,10.23,NA,NA,NA
RSTR,ST040X,1996-04-18,07:00:00,RSTR8,2,NA,n/p,2,10.77,NA,NA,trap jammed with logs
RSTR,ST040X,1996-04-19,07:30:00,RSTR8,1.85,NA,n/p,NA,8.76,NA,NA,NA
RSTR,ST040X,1996-04-19,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-20,07:00:00,RSTR8,1.82,NA,n/p,NA,9.79,NA,NA,NA
RSTR,ST040X,1996-04-21,07:30:00,RSTR8,1.8,NA,n/p,NA,8.96,NA,NA,NA
RSTR,ST040X,1996-04-22,07:30:00,RSTR8,1.8,NA,n/p,NA,8.67,NA,NA,NA
RSTR,ST040X,1996-04-22,22:45:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-23,01:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-23,08:30:00,RSTR8,1.8,NA,n/p,NA,9.52,NA,NA,NA
RSTR,ST040X,1996-04-24,07:30:00,RSTR8,1.79,NA,n/p,NA,9.01,NA,NA,NA
RSTR,ST040X,1996-04-24,00:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-25,07:00:00,RSTR8,1.8,NA,n/p,2,9.64,NA,NA,one cell jammed
RSTR,ST040X,1996-04-25,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-26,07:00:00,RSTR8,1.86,NA,n/p,NA,9.81,NA,NA,NA
RSTR,ST040X,1996-04-26,20:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-26,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-27,08:00:00,RSTR8,1.8,NA,n/p,NA,9.89,NA,NA,NA
RSTR,ST040X,1996-04-27,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-28,07:00:00,RSTR8,1.8,NA,n/p,NA,9.33,NA,NA,NA
RSTR,ST040X,1996-04-28,22:15:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-29,08:00:00,RSTR8,1.83,NA,n/p,NA,9.99,NA,NA,NA
RSTR,ST040X,1996-04-29,21:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-04-30,07:30:00,RSTR8,1.8,NA,n/p,NA,9.03,NA,NA,NA
RSTR,ST040X,1996-04-30,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-01,11:30:00,RSTR8,1.79,NA,n/p,NA,10.07,NA,NA,NA
RSTR,ST040X,1996-05-02,10:00:00,RSTR8,1.8,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-02,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-03,07:00:00,RSTR8,1.8,NA,n/p,NA,11,NA,NA,NA
RSTR,ST040X,1996-05-03,22:15:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-03,00:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-04,07:00:00,RSTR8,1.8,NA,n/p,NA,8.59,NA,NA,NA
RSTR,ST040X,1996-05-04,20:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-04,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-04,23:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-05,08:00:00,RSTR8,1.78,NA,n/p,NA,9.5,NA,NA,NA
RSTR,ST040X,1996-05-05,21:45:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-06,07:30:00,RSTR8,1.8,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-14,07:00:00,RSTR8,1.8,NA,n/p,NA,8.24,NA,NA,NA
RSTR,ST040X,1996-05-14,19:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-15,09:00:00,RSTR8,1.76,NA,n/p,NA,8.89,NA,NA,NA
RSTR,ST040X,1996-05-15,19:45:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-16,07:00:00,RSTR8,2.08,NA,n/p,NA,8.51,NA,NA,NA
RSTR,ST040X,1996-05-16,22:30:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-17,07:00:00,RSTR8,1.88,NA,n/p,NA,9.35,NA,NA,NA
RSTR,ST040X,1996-05-18,08:00:00,RSTR8,1.82,NA,n/p,NA,8.96,NA,NA,NA
RSTR,ST040X,1996-05-19,08:30:00,RSTR8,1.8,NA,n/p,NA,9.57,NA,NA,NA
RSTR,ST040X,1996-05-20,08:30:00,RSTR8,1.88,NA,n/p,NA,9.26,NA,NA,NA
RSTR,ST040X,1996-05-21,07:00:00,RSTR8,1.8,NA,n/p,NA,8.29,NA,NA,NA
RSTR,ST040X,1996-05-22,07:00:00,RSTR8,1.8,NA,n/p,NA,8.61,NA,NA,NA
RSTR,ST040X,1996-05-23,07:00:00,RSTR8,0.96,NA,n/p,NA,9.26,NA,NA,NA
RSTR,ST040X,1996-05-24,08:00:00,RSTR8,0.72,NA,n/p,3,10.54,NA,NA,trap stopped upon arrival
RSTR,ST040X,1996-05-26,08:15:00,RSTR8,0.18,NA,n/p,NA,9.8,NA,NA,NA
RSTR,ST040X,1996-05-27,07:00:00,RSTR8,0.02,NA,n/p,NA,10.61,NA,NA,NA
RSTR,ST040X,1996-05-27,00:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-28,07:00:00,RSTR8,0.32,NA,n/p,NA,10.72,NA,NA,NA
RSTR,ST040X,1996-05-28,00:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-29,07:30:00,RSTR8,0.2,NA,n/p,NA,10.93,NA,NA,NA
RSTR,ST040X,1996-05-29,22:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-29,23:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-05-30,07:00:00,RSTR8,0.02,NA,n/p,NA,9.73,NA,NA,NA
RSTR,ST040X,1996-05-31,08:00:00,RSTR8,1.18,NA,n/p,NA,9.73,NA,NA,NA
RSTR,ST040X,1996-06-01,07:45:00,RSTR8,1.2,NA,n/p,NA,11.04,NA,NA,NA
RSTR,ST040X,1996-06-02,08:00:00,RSTR8,0.2,NA,n/p,NA,11.59,NA,NA,NA
RSTR,ST040X,1996-06-03,06:30:00,RSTR8,0.2,NA,n/p,NA,8.83,NA,NA,NA
RSTR,ST040X,1996-06-04,07:30:00,RSTR8,0.2,NA,n/p,NA,10.34,NA,NA,NA
RSTR,ST040X,1996-06-05,07:00:00,RSTR8,0.16,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-06-06,07:00:00,RSTR8,0.16,NA,n/p,NA,9.18,NA,NA,NA
RSTR,ST040X,1996-06-07,07:00:00,RSTR8,0.04,NA,n/p,NA,9.48,NA,NA,NA
RSTR,ST040X,1996-06-07,17:00:00,RSTR8,n/p,NA,n/p,NA,NA,NA,NA,NA
RSTR,ST040X,1996-06-08,08:45:00,RSTR8,0.93,NA,n/p,3,9.54,NA,NA,trap stopped upon arrival; both cells completely jammed
RSTR,ST040X,1998-01-26,10:30:00,RSTR8,n/p,0,n/p,4,NA,NA,NA,Lowered trap to fish.
RSTR,ST040X,1998-01-26,16:00:00,RSTR8,n/p,1,n/p,2,NA,NA,NA,Removed one large piece of wood from the cone. Very little debris.
RSTR,ST040X,1998-01-27,09:00:00,RSTR8,2,2,n/p,1,NA,9.7,NA,NA
RSTR,ST040X,1998-01-27,16:30:00,RSTR8,2,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-01-28,07:30:00,RSTR8,2,2,n/p,2,9,8.8,NA,One cell blocked by a log.
RSTR,ST040X,1998-01-28,19:45:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-01-29,07:45:00,RSTR8,2.1,2,n/p,2,9,8.6,NA,NA
RSTR,ST040X,1998-01-29,17:00:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-01-30,08:00:00,RSTR8,4.3,2,n/p,3,13.7,10.6,NA,Both cells blocked.
RSTR,ST040X,1998-01-30,16:00:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-01-31,08:00:00,RSTR8,4.3,2,n/p,2,11.9,10.7,NA,One cell blocked.
RSTR,ST040X,1998-01-31,16:30:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,No catch.
RSTR,ST040X,1998-02-01,07:45:00,RSTR8,4.4,2,n/p,2,11.9,10.8,NA,One cell partially blocked.
RSTR,ST040X,1998-02-01,18:30:00,RSTR8,4.2,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-02-02,08:00:00,RSTR8,3.7,2,n/p,1,9.9,9.8,NA,Heavy rain
RSTR,ST040X,1998-02-02,17:00:00,RSTR8,4.8,3,n/p,3,NA,NA,NA,Trap lifted due to rising water & heavy debris
RSTR,ST040X,1998-02-11,17:00:00,RSTR8,n/p,0,n/p,4,NA,NA,NA,Lowered trap to fish.
RSTR,ST040X,1998-02-12,09:30:00,RSTR8,7,1,n/p,1,15.7,15.3,NA,NA
RSTR,ST040X,1998-02-13,08:15:00,RSTR8,7,1,n/p,1,NA,15.5,NA,Minimal debris; counter installed.
RSTR,ST040X,1998-02-13,17:45:00,RSTR8,7,1,n/p,1,NA,NA,2200,NA
RSTR,ST040X,1998-02-14,09:45:00,RSTR8,7,2,n/p,1,13.8,13.9,6669,NA
RSTR,ST040X,1998-02-14,17:30:00,RSTR8,7,1,n/p,1,NA,NA,1813,NA
RSTR,ST040X,1998-02-15,09:15:00,RSTR8,7,2,n/p,1,13.7,12.4,5539,NA
RSTR,ST040X,1998-02-15,17:30:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-02-16,09:45:00,RSTR8,7,2,n/p,1,18.3,19.1,6164,Water velocity taken with bad meter.
RSTR,ST040X,1998-02-17,10:30:00,RSTR8,6,1,n/p,2,12.9,12.1,5927,One cell partially blocked.
RSTR,ST040X,1998-02-17,18:30:00,RSTR8,n/p,1,n/p,1,NA,NA,2322,NA
RSTR,ST040X,1998-02-18,07:45:00,RSTR8,7,2,n/p,1,15.1,17.3,5302,NA
RSTR,ST040X,1998-02-18,16:45:00,RSTR8,n/p,1,n/p,1,NA,NA,NA,NA
RSTR,ST040X,1998-02-19,09:30:00,RSTR8,n/p,2,n/p,1,NA,14.5,5774,NA
RSTR,ST040X,1998-02-20,10:15:00,RSTR8,7,1,n/p,1,13.4,13.5,6418,NA
RSTR,ST040X,1998-02-21,08:45:00,RSTR8,7,1,n/p,1,13.3,12.5,5872,NA
RSTR,ST040X,1998-02-22,09:30:00,RSTR8,n/p,1,n/p,1,11.8,11.8,6217,NA
RSTR,ST040X,1998-02-23,09:00:00,RSTR8,n/p,1,n/p,1,13.2,13.2,6286,NA
RSTR,ST040X,1998-02-24,09:15:00,RSTR8,n/p,1,n/p,1,NA,NA,6912,NA
RSTR,ST040X,1998-02-25,09:45:00,RSTR8,6,1,n/p,1,11.5,11.5,7516,NA
RSTR,ST040X,1998-02-26,09:00:00,RSTR8,6,1,n/p,1,11.3,11.3,7350,NA
RSTR,ST040X,1998-02-27,09:15:00,RSTR8,6,1,n/p,1,10.2,10.8,7510,NA
RSTR,ST040X,1998-02-28,09:00:00,RSTR8,n/p,1,n/p,1,12.2,12.2,7385,NA
